customer,recency,frequency,monetary,cluster,cluster_label
ca0e82c7bzs,13,1,5837.97,4,Cliente Perdido
ca13e240bzs,17,1,762.28,0,Clientes que Necesitan Atención
ca1f55fbbzs,20,1,1292.0,0,Clientes que Necesitan Atención
ca267c3cbzs,3,1,671.16,1,Cliente Prometedor
ca2ddb94bzs,20,1,1111.63,0,Clientes que Necesitan Atención
ca31d612bzs,22,1,1346.91,0,Clientes que Necesitan Atención
ca3754debzs,8,1,2521.78,4,Cliente Perdido
ca624cd7bzs,6,1,643.96,1,Cliente Prometedor
ca6cf3a6bzs,15,1,3282.53,4,Cliente Perdido
ca745254bzs,17,1,913.92,0,Clientes que Necesitan Atención
ca850c62bzs,2,2,3871.58,1,Cliente Prometedor
ca8dfacbbzs,4,2,4542.57,1,Cliente Prometedor
cab03734bzs,14,1,1396.04,4,Cliente Perdido
cab26fe4bzs,20,1,562.7,0,Clientes que Necesitan Atención
cabd2c1dbzs,23,1,1758.48,0,Clientes que Necesitan Atención
cac3af37bzs,12,1,494.19,4,Cliente Perdido
cac74c10bzs,8,1,776.9,4,Cliente Perdido
cad02436bzs,1,29,60474.439999999995,2,Cliente Leal
cad7dc32bzs,5,5,4308.48,1,Cliente Prometedor
caee2330bzs,1,1,1696.6,1,Cliente Prometedor
caf7013dbzs,9,1,526.32,4,Cliente Perdido
caf7621cbzs,13,1,1210.4,4,Cliente Perdido
cafe2fa5bzs,17,3,16769.31,0,Clientes que Necesitan Atención
caffaafbbzs,16,1,4921.33,4,Cliente Perdido
cb057802bzs,1,6,12762.07,1,Cliente Prometedor
cb070c8abzs,2,4,3512.71,1,Cliente Prometedor
cb097ca3bzs,6,1,2389.52,1,Cliente Prometedor
cb127598bzs,21,1,1447.55,0,Clientes que Necesitan Atención
cb1b0bdfbzs,21,1,798.66,0,Clientes que Necesitan Atención
cb36d8fcbzs,4,1,1040.23,1,Cliente Prometedor
cb3879d8bzs,7,2,1609.56,1,Cliente Prometedor
cb403573bzs,13,3,1860.99,4,Cliente Perdido
cb594400bzs,1,6,7244.7625,1,Cliente Prometedor
cb5a424dbzs,21,1,16814.7,0,Clientes que Necesitan Atención
cb702de4bzs,8,1,400.52,4,Cliente Perdido
cb7934a7bzs,3,1,629.34,1,Cliente Prometedor
cb82fe52bzs,24,1,2324.07,0,Clientes que Necesitan Atención
cba4a573bzs,8,1,2382.38,4,Cliente Perdido
cbaf09d7bzs,22,1,1313.08,0,Clientes que Necesitan Atención
cbaf0f56bzs,3,6,20653.47,1,Cliente Prometedor
cbc673f9bzs,19,1,936.36,0,Clientes que Necesitan Atención
cbd6baaabzs,18,1,1616.02,0,Clientes que Necesitan Atención
cbdd00c2bzs,15,1,2159.85,4,Cliente Perdido
cbf0b9a9bzs,21,1,424.66,0,Clientes que Necesitan Atención
cbf114ecbzs,20,2,9398.96,0,Clientes que Necesitan Atención
cbf2afefbzs,8,3,9514.39,1,Cliente Prometedor
cbf5bec5bzs,20,1,835.72,0,Clientes que Necesitan Atención
cc28119ebzs,22,1,431.46,0,Clientes que Necesitan Atención
cc288272bzs,11,1,1978.97,4,Cliente Perdido
cc39fc0ebzs,22,1,1288.26,0,Clientes que Necesitan Atención
cc400b31bzs,14,1,34.0,4,Cliente Perdido
cc419af4bzs,19,1,1066.07,0,Clientes que Necesitan Atención
cc45c920bzs,23,1,932.28,0,Clientes que Necesitan Atención
cc468adebzs,2,1,1645.6,1,Cliente Prometedor
cc65871abzs,22,2,2834.75,0,Clientes que Necesitan Atención
cc822b5dbzs,9,1,1113.16,4,Cliente Perdido
ccaa473ebzs,22,1,2788.34,0,Clientes que Necesitan Atención
ccafb485bzs,10,1,1291.83,4,Cliente Perdido
ccbeb0b2bzs,2,1,1026.46,1,Cliente Prometedor
ccc1c9c8bzs,8,1,1376.83,4,Cliente Perdido
ccc67ae7bzs,6,2,4150.55,1,Cliente Prometedor
ccd3a38ebzs,18,1,383.18,0,Clientes que Necesitan Atención
cced1a3fbzs,11,1,672.86,4,Cliente Perdido
cd0e1f6abzs,2,3,7155.299999999999,1,Cliente Prometedor
cd20c651bzs,23,1,662.66,0,Clientes que Necesitan Atención
cd302ea9bzs,23,1,1340.28,0,Clientes que Necesitan Atención
cd33a521bzs,7,9,25901.2,1,Cliente Prometedor
cd3f9f51bzs,5,1,28951.85,1,Cliente Prometedor
cd41e7b6bzs,11,1,2851.92,4,Cliente Perdido
cd5ccd56bzs,1,7,19638.74,1,Cliente Prometedor
cd62cf18bzs,18,1,473.28,0,Clientes que Necesitan Atención
cd63996cbzs,22,1,3689.0,0,Clientes que Necesitan Atención
cd63f436bzs,21,1,1784.83,0,Clientes que Necesitan Atención
cd69b43dbzs,17,3,9353.23,0,Clientes que Necesitan Atención
cd8a85e3bzs,3,2,1908.5900000000001,1,Cliente Prometedor
cd8e99cfbzs,9,1,441.66,4,Cliente Perdido
cd9110d4bzs,1,2,5734.44,1,Cliente Prometedor
cd98e6d8bzs,12,2,3210.79,4,Cliente Perdido
cda77688bzs,17,6,8692.27,0,Clientes que Necesitan Atención
cdb286dfbzs,3,1,2499.17,1,Cliente Prometedor
cdc25f66bzs,16,1,761.43,4,Cliente Perdido
cdc955dcbzs,18,1,698.7,0,Clientes que Necesitan Atención
cdcbb231bzs,8,1,1662.26,4,Cliente Perdido
cde08b75bzs,12,1,985.32,4,Cliente Perdido
cde5257ebzs,12,1,1999.37,4,Cliente Perdido
cdfe1382bzs,1,3,6853.719999999999,1,Cliente Prometedor
cdfffb6cbzs,21,1,1660.73,0,Clientes que Necesitan Atención
ce2448fcbzs,9,4,3541.1,4,Cliente Perdido
ce2b486dbzs,2,3,4848.0599999999995,1,Cliente Prometedor
ce46d635bzs,3,10,15978.98,1,Cliente Prometedor
ce6b394ebzs,1,5,2752.81,1,Cliente Prometedor
ce7a1f70bzs,23,1,816.51,0,Clientes que Necesitan Atención
cea09ad6bzs,21,1,1182.35,0,Clientes que Necesitan Atención
cea99489bzs,19,1,459.34,0,Clientes que Necesitan Atención
ceb66111bzs,15,1,871.93,4,Cliente Perdido
cebca39bbzs,21,1,932.28,0,Clientes que Necesitan Atención
cebcf6bebzs,22,1,437.75,0,Clientes que Necesitan Atención
cebf926abzs,1,18,25851.6365,1,Cliente Prometedor
cecda72abzs,20,2,4940.1966,0,Clientes que Necesitan Atención
ced42a63bzs,12,1,1003.51,4,Cliente Perdido
ced4b189bzs,22,1,18007.93,0,Clientes que Necesitan Atención
ced74441bzs,2,7,25242.28,1,Cliente Prometedor
cedcbb15bzs,23,1,736.27,0,Clientes que Necesitan Atención
cedd0743bzs,23,1,579.7,0,Clientes que Necesitan Atención
cede99febzs,19,1,5470.26,0,Clientes que Necesitan Atención
cee15a76bzs,18,1,3630.52,0,Clientes que Necesitan Atención
cef5cb15bzs,7,1,405.45,1,Cliente Prometedor
cef86ed3bzs,22,1,1506.54,0,Clientes que Necesitan Atención
